id,principleName,principleId,url,crawlType,crawlProvider,status
1,LeagueSeason,1,"https://footballapi.pulselive.com/football/fixtures?comps=1&teams=1,2,127,130,131,43,4,6,7,34,10,163,11,12,23,15,18,21,25,38&compSeasons=578&page=0&pageSize=20&sort=asc&statuses=U,L&altIds=true&detail=2",Matches,PremierLeague,10ACTIVE
2,LeagueSeason,1,"https://footballapi.pulselive.com/football/standings?compSeasons=578&altIds=true&detail=2&FOOTBALL_COMPETITION=1&live=true",Standings,PremierLeague,10ACTIVE
